"id","direction","ideaId","voterId","createdAt","updatedAt"
1081,1,77,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-09-29 09:04:07.618","2022-09-29 09:04:07.619"
1082,-1,78,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-09-29 09:04:15.541","2022-09-29 09:04:15.542"
1083,-1,79,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-09-29 09:04:17.676","2022-09-29 09:04:17.677"
1084,1,80,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-09-29 09:04:25.405","2022-09-29 09:04:25.406"
1085,1,81,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-09-29 11:26:20.55","2022-09-29 11:26:20.551"
1086,1,81,"0x73E049B27E52dC32bf88b5C6Fb5e68C127F5c32e","2022-09-29 11:34:38.147","2022-09-29 11:34:38.148"
1087,1,79,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-09-29 11:50:24.948","2022-09-29 11:50:24.948"
1088,1,80,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-09-29 11:50:25.726","2022-09-29 11:50:25.726"
1089,1,81,"0x645Dd9A924593741DD0B132975b105203BB8BE77","2022-09-29 12:13:52.077","2022-09-29 12:13:52.078"
1090,1,82,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3","2022-09-29 17:26:42.212","2022-09-29 17:26:42.213"
1091,1,82,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-09-29 17:28:06.75","2022-09-29 17:28:06.751"
1003,1,75,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-09-21 04:57:47.613","2022-09-29 17:28:16.973"
1092,1,81,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-09-29 17:28:48.214","2022-09-29 17:28:48.214"
1093,1,72,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-09-29 17:29:57.157","2022-09-29 17:29:57.157"
1095,1,14,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:36:01.584","2022-09-29 18:36:01.585"
1096,1,25,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:36:04.682","2022-09-29 18:36:04.682"
1098,1,81,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:36:17.54","2022-09-29 18:36:17.541"
1099,1,59,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:36:23.139","2022-09-29 18:36:23.139"
918,1,63,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-18 15:56:32.029","2022-09-29 18:36:26.976"
1101,1,57,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:36:46.275","2022-09-29 18:36:46.276"
1102,1,43,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:36:51.095","2022-09-29 18:36:51.095"
1103,1,24,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:36:55.006","2022-09-29 18:36:55.007"
1104,1,16,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:36:57.422","2022-09-29 18:36:57.423"
1105,1,47,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:37:04.631","2022-09-29 18:37:04.632"
1106,1,22,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:37:08.726","2022-09-29 18:37:08.727"
1107,1,6,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:37:15.344","2022-09-29 18:37:15.345"
1108,1,21,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:37:18.701","2022-09-29 18:37:18.702"
1109,1,28,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:37:21.619","2022-09-29 18:37:21.619"
1110,1,17,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:37:24.31","2022-09-29 18:37:43.653"
1111,1,55,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:37:43.952","2022-09-29 18:37:43.953"
1112,1,44,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:37:43.963","2022-09-29 18:37:43.963"
1113,1,65,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:37:44.004","2022-09-29 18:37:44.004"
1114,1,77,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:37:44.004","2022-09-29 18:37:44.005"
1115,1,41,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:37:44.004","2022-09-29 18:37:44.005"
1116,1,80,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:37:44.004","2022-09-29 18:37:44.005"
1117,1,51,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:37:48.107","2022-09-29 18:37:48.108"
1118,1,33,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:37:52.844","2022-09-29 18:37:52.844"
1119,1,23,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:37:57.467","2022-09-29 18:37:57.468"
1120,1,45,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:38:00.773","2022-09-29 18:38:00.773"
1121,1,7,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:38:08.721","2022-09-29 18:38:08.722"
1122,1,58,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:38:21.352","2022-09-29 18:38:21.353"
1123,1,81,"0xc5a204CFa87b45Da687B13248E7822AB4a763096","2022-09-29 21:01:58.861","2022-09-29 21:01:58.862"
1124,1,25,"0xc5a204CFa87b45Da687B13248E7822AB4a763096","2022-09-29 21:02:26.665","2022-09-29 21:02:26.666"
1125,1,27,"0xb8C4310eF6cBA7ED25b4855Bac20617A8b3BcD56","2022-09-30 17:30:53.921","2022-09-30 17:30:53.922"
1126,1,19,"0xb8C4310eF6cBA7ED25b4855Bac20617A8b3BcD56","2022-09-30 17:31:05.172","2022-09-30 17:31:05.173"
1127,1,73,"0xb8C4310eF6cBA7ED25b4855Bac20617A8b3BcD56","2022-09-30 17:31:15.712","2022-09-30 17:31:15.712"
1128,1,82,"0x8454a98a68FC54A30109CA6cC4e90Fa31fB2473E","2022-09-30 18:46:48.854","2022-09-30 18:46:48.855"
1129,1,27,"0x049569adb8a1e8A9349E9F1111C7b7993A4612eB","2022-10-02 16:30:48.784","2022-10-02 16:30:48.785"
1130,1,64,"0x049569adb8a1e8A9349E9F1111C7b7993A4612eB","2022-10-02 16:31:16.849","2022-10-02 16:31:16.85"
1131,1,16,"0x049569adb8a1e8A9349E9F1111C7b7993A4612eB","2022-10-02 16:31:35.84","2022-10-02 16:31:35.84"
1132,1,80,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3","2022-10-02 18:31:04.745","2022-10-02 18:31:04.746"
1078,1,82,"0xB60c947bfCc9767E94ba36fD2DeC7AA11356c84f","2022-09-29 05:20:41.384","2022-10-12 04:05:43.551"
1244,1,87,"0xFE3A509F8E8eb59209CC8c9b90f7b352781E96f4","2022-10-14 14:30:47.028","2022-10-14 14:30:47.029"
1097,-1,52,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:36:12.452","2022-10-10 04:02:02.669"
1100,-1,26,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:36:31.271","2022-10-10 04:02:28.418"
1094,1,82,"0xe88020cb9b70eaf8dC524d2DBd68A1aDdf278eE8","2022-09-29 18:35:56.245","2022-10-11 19:17:42.334"
1133,-1,72,"0x31B6470f3FAE7e488DA60b5fB9713A9a41286250","2022-10-03 04:01:31.002","2022-10-03 04:01:44.966"
